label,isCode,wordsLen,ZeroLen,OneLen,WordsWithSameSizeLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart,isLongueurFixe,one,two,three,four,five,six,seven,eight,nine,ten,coloneLen,coltwoLen,colthreeLen,colfourLen,colfiveLen,colsixLen,colsevenLen,coleightLen,colnineLen,coltenLen
"['101101', '000100', '111000', '110001', '100101', '010011', '111011', '110011', '101011']",1,9,24,30,9,54,23.833333333333332,92,140,1,45,4,56,49,37,19,59,51,43,0,6,6,6,6,6,6,6,6,6,0
"['110101', '010001', '010100']",1,3,10,8,3,18,2.0,6,7,1,53,17,20,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['0100000', '1110010', '1110111', '0010000', '1000101', '0011111', '1110000']",1,7,26,23,7,49,12.142857142857142,73,77,1,32,114,119,16,69,31,112,0,0,0,7,7,7,7,7,7,7,0,0,0
"['011011', '100000', '010110']",1,3,10,8,3,18,1.5,11,7,1,27,32,22,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['0011', '1100', '0010', '0110', '1110', '0100', '1000']",1,7,16,12,7,28,13.5,42,68,1,3,12,2,6,14,4,8,0,0,0,4,4,4,4,4,4,4,0,0,0
"['01001', '11100', '00111', '01110']",1,4,9,11,4,20,4.0,17,16,1,9,28,7,14,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['0111110', '0110010', '1110100', '0010010', '1000001', '1011110', '1101111', '0100100', '0110001', '0100001']",1,10,36,34,10,70,28.0,146,136,1,62,50,116,18,65,94,111,36,49,33,7,7,7,7,7,7,7,7,7,7
"['01101', '10000', '11110', '00100', '10111', '10001', '01000', '11010']",1,8,21,19,8,40,16.2,71,70,1,13,16,30,4,23,17,8,26,0,0,5,5,5,5,5,5,5,5,0,0
"['101101', '111000', '100111', '011010', '111001', '010011', '111101', '000001']",1,8,21,27,8,48,17.333333333333332,79,91,1,45,56,39,26,57,19,61,1,0,0,6,6,6,6,6,6,6,6,0,0
"['001000', '101001', '000101', '011110', '001011', '010001', '001110', '101011']",1,8,26,22,8,48,17.833333333333332,74,81,1,8,41,5,30,11,17,14,43,0,0,6,6,6,6,6,6,6,6,0,0
"['0000', '1100', '1010', '1101', '0110', '1111', '1001', '1000', '0101', '1011']",1,10,19,21,10,40,26.75,88,119,1,0,12,10,13,6,15,9,8,5,11,4,4,4,4,4,4,4,4,4,4
"['100111', '110001', '101010', '110100', '000111', '111101', '110011', '101011']",1,8,19,29,8,48,18.5,75,121,1,39,49,42,52,7,61,51,43,0,0,6,6,6,6,6,6,6,6,0,0
"['100001', '011100', '011010', '100101', '110111', '110011', '101011']",1,7,18,24,7,42,14.166666666666666,57,61,1,33,28,26,37,55,51,43,0,0,0,6,6,6,6,6,6,6,0,0,0
"['10111', '01010', '00000', '01001', '11010']",1,5,14,11,5,25,5.6,26,24,1,23,10,0,9,26,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0
"['011000', '010110', '100111']",1,3,9,9,3,18,1.8333333333333333,11,5,1,24,22,39,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['1111110', '0101101', '0000001']",1,3,10,11,3,21,1.0,14,7,1,126,45,1,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0
"['0011111', '0101111', '0101100', '1101100']",1,4,11,17,4,28,4.0,17,28,1,31,47,44,108,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0
"['0101', '0011', '0010']",1,3,7,5,3,12,2.25,5,8,1,5,3,2,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0
"['01111', '00101', '11010']",1,3,6,9,3,15,1.6,8,7,1,15,5,26,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0
"['00110', '11001', '10010', '00011', '01110']",1,5,13,12,5,25,6.6,25,24,1,6,25,18,3,14,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0
"['0011', '0001', '1101', '0110', '1110', '0100', '0111']",1,7,13,15,7,28,12.75,43,57,1,3,1,13,6,14,4,7,0,0,0,4,4,4,4,4,4,4,0,0,0
"['1001011', '1111100', '1110010', '1101111', '0011110', '1011001', '1000111', '1101101']",1,8,20,36,8,56,18.57142857142857,86,103,1,75,124,114,111,30,89,71,109,0,0,7,7,7,7,7,7,7,7,0,0
"['00001', '10111', '10101', '10001']",1,4,10,10,4,20,3.8000000000000003,10,27,1,1,23,21,17,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['010101', '100110', '000000', '001000', '101001', '110111', '101110', '101111', '010111', '100100']",1,10,30,30,10,60,28.0,121,129,1,21,38,0,8,41,55,46,47,23,36,6,6,6,6,6,6,6,6,6,6
"['0001', '0010', '1111', '0111', '1000', '0101']",1,6,12,12,6,24,8.0,33,38,1,1,2,15,7,8,5,0,0,0,0,4,4,4,4,4,4,0,0,0,0
"['0011', '0001', '0010', '0111', '1011']",1,5,10,10,5,20,6.5,16,26,1,3,1,2,7,11,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0
"['110010', '111100', '111110', '000000', '011010', '010011', '000010', '101000', '100010']",1,9,31,23,9,54,20.333333333333332,97,124,1,50,60,62,0,26,19,2,40,34,0,6,6,6,6,6,6,6,6,6,0
"['101101', '010110', '011100', '000110', '110101', '000010']",1,6,19,17,6,36,9.5,41,40,1,45,22,28,6,53,2,0,0,0,0,6,6,6,6,6,6,0,0,0,0
"['01111', '11100', '01010', '00010']",1,4,10,10,4,20,3.2,16,20,1,15,28,10,2,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['0000111', '1101000', '0011110', '0111001', '0111010']",1,5,17,18,5,35,6.428571428571429,37,32,1,7,104,30,57,58,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
"['01101', '10011', '01100', '00111', '10001', '11110', '01000', '11100', '11010']",1,9,21,24,9,45,22.6,90,98,1,13,19,12,7,17,30,8,28,26,0,5,5,5,5,5,5,5,5,5,0
"['001010', '111001', '100011', '001100', '111010', '100100']",1,6,19,17,6,36,10.333333333333334,42,43,1,10,57,35,12,58,36,0,0,0,0,6,6,6,6,6,6,0,0,0,0
"['110001', '100110', '101100', '000000', '000101', '110011', '011101', '100010']",1,8,27,21,8,48,17.5,76,74,1,49,38,44,0,5,51,29,34,0,0,6,6,6,6,6,6,6,6,0,0
"['110110', '011111', '001010', '001000', '000101', '101111', '100100']",1,7,21,21,7,42,12.5,61,59,1,54,31,10,8,5,47,36,0,0,0,6,6,6,6,6,6,6,0,0,0
"['00010', '11101', '11011', '00000', '00001', '11110', '10011']",1,7,18,17,7,35,10.6,57,63,1,2,29,27,0,1,30,19,0,0,0,5,5,5,5,5,5,5,0,0,0
"['11000', '01101', '01100', '10010', '00010', '11111', '10101', '00000', '11110', '00100']",1,10,27,23,10,50,25.4,112,133,1,24,13,12,18,2,31,21,0,30,4,5,5,5,5,5,5,5,5,5,5
"['001010', '101100', '100010', '111101', '110101', '000010', '001111', '101011']",1,8,23,25,8,48,16.666666666666668,79,81,1,10,44,34,61,53,2,15,43,0,0,6,6,6,6,6,6,6,6,0,0
"['11000', '00100', '11011', '01010', '01110']",1,5,13,12,5,25,6.2,24,27,1,24,4,27,10,14,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0
"['01101', '01100', '10110', '00011', '01001', '10100']",1,6,16,14,6,30,10.6,35,42,1,13,12,22,3,9,20,0,0,0,0,5,5,5,5,5,5,0,0,0,0
"['1000011', '0001101', '0001001', '1101110', '0010110', '0000000']",1,6,26,16,6,42,9.428571428571429,47,47,1,67,13,9,110,22,0,0,0,0,0,7,7,7,7,7,7,0,0,0,0
"['1101010', '1110110', '0101110']",1,3,8,13,3,21,2.142857142857143,7,11,1,106,118,46,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0
"['0000', '0011', '0010', '1101', '1111', '1110', '0111', '1000']",1,8,15,17,8,32,14.75,62,84,1,0,3,2,13,15,14,7,8,0,0,4,4,4,4,4,4,4,4,0,0
