label,isCode,wordsLen,ZeroLen,OneLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart,isLongueurFixe,kraftMcMilanSatisfied,WordsWithSameSizeLen
"['101101', '000100', '111000', '110001', '100101', '010011', '111011', '110011', '101011']",1,9,24,30,54,23.833333333333332,92,140,1,1,9
"['110101', '010001', '010100']",1,3,10,8,18,2.0,6,7,1,1,3
"['0100000', '1110010', '1110111', '0010000', '1000101', '0011111', '1110000']",1,7,26,23,49,12.142857142857142,73,77,1,1,7
"['011011', '100000', '010110']",1,3,10,8,18,1.5,11,7,1,1,3
"['0011', '1100', '0010', '0110', '1110', '0100', '1000']",1,7,16,12,28,13.5,42,68,1,1,7
"['01001', '11100', '00111', '01110']",1,4,9,11,20,4.0,17,16,1,1,4
"['0111110', '0110010', '1110100', '0010010', '1000001', '1011110', '1101111', '0100100', '0110001', '0100001']",1,10,36,34,70,28.0,146,136,1,1,10
"['01101', '10000', '11110', '00100', '10111', '10001', '01000', '11010']",1,8,21,19,40,16.2,71,70,1,1,8
"['101101', '111000', '100111', '011010', '111001', '010011', '111101', '000001']",1,8,21,27,48,17.333333333333332,79,91,1,1,8
"['001000', '101001', '000101', '011110', '001011', '010001', '001110', '101011']",1,8,26,22,48,17.833333333333332,74,81,1,1,8
"['0000', '1100', '1010', '1101', '0110', '1111', '1001', '1000', '0101', '1011']",1,10,19,21,40,26.75,88,119,1,1,10
"['100111', '110001', '101010', '110100', '000111', '111101', '110011', '101011']",1,8,19,29,48,18.5,75,121,1,1,8
"['100001', '011100', '011010', '100101', '110111', '110011', '101011']",1,7,18,24,42,14.166666666666666,57,61,1,1,7
"['10111', '01010', '00000', '01001', '11010']",1,5,14,11,25,5.6,26,24,1,1,5
"['011000', '010110', '100111']",1,3,9,9,18,1.8333333333333333,11,5,1,1,3
"['1111110', '0101101', '0000001']",1,3,10,11,21,1.0,14,7,1,1,3
"['0011111', '0101111', '0101100', '1101100']",1,4,11,17,28,4.0,17,28,1,1,4
"['0101', '0011', '0010']",1,3,7,5,12,2.25,5,8,1,1,3
"['01111', '00101', '11010']",1,3,6,9,15,1.6,8,7,1,1,3
"['00110', '11001', '10010', '00011', '01110']",1,5,13,12,25,6.6,25,24,1,1,5
"['0011', '0001', '1101', '0110', '1110', '0100', '0111']",1,7,13,15,28,12.75,43,57,1,1,7
"['1001011', '1111100', '1110010', '1101111', '0011110', '1011001', '1000111', '1101101']",1,8,20,36,56,18.57142857142857,86,103,1,1,8
"['00001', '10111', '10101', '10001']",1,4,10,10,20,3.8000000000000003,10,27,1,1,4
"['010101', '100110', '000000', '001000', '101001', '110111', '101110', '101111', '010111', '100100']",1,10,30,30,60,28.0,121,129,1,1,10
"['0001', '0010', '1111', '0111', '1000', '0101']",1,6,12,12,24,8.0,33,38,1,1,6
"['0011', '0001', '0010', '0111', '1011']",1,5,10,10,20,6.5,16,26,1,1,5
"['110010', '111100', '111110', '000000', '011010', '010011', '000010', '101000', '100010']",1,9,31,23,54,20.333333333333332,97,124,1,1,9
"['101101', '010110', '011100', '000110', '110101', '000010']",1,6,19,17,36,9.5,41,40,1,1,6
"['01111', '11100', '01010', '00010']",1,4,10,10,20,3.2,16,20,1,1,4
"['0000111', '1101000', '0011110', '0111001', '0111010']",1,5,17,18,35,6.428571428571429,37,32,1,1,5
"['01101', '10011', '01100', '00111', '10001', '11110', '01000', '11100', '11010']",1,9,21,24,45,22.6,90,98,1,1,9
"['001010', '111001', '100011', '001100', '111010', '100100']",1,6,19,17,36,10.333333333333334,42,43,1,1,6
"['110001', '100110', '101100', '000000', '000101', '110011', '011101', '100010']",1,8,27,21,48,17.5,76,74,1,1,8
"['110110', '011111', '001010', '001000', '000101', '101111', '100100']",1,7,21,21,42,12.5,61,59,1,1,7
"['00010', '11101', '11011', '00000', '00001', '11110', '10011']",1,7,18,17,35,10.6,57,63,1,1,7
"['11000', '01101', '01100', '10010', '00010', '11111', '10101', '00000', '11110', '00100']",1,10,27,23,50,25.4,112,133,1,1,10
"['001010', '101100', '100010', '111101', '110101', '000010', '001111', '101011']",1,8,23,25,48,16.666666666666668,79,81,1,1,8
"['11000', '00100', '11011', '01010', '01110']",1,5,13,12,25,6.2,24,27,1,1,5
"['01101', '01100', '10110', '00011', '01001', '10100']",1,6,16,14,30,10.6,35,42,1,1,6
"['1000011', '0001101', '0001001', '1101110', '0010110', '0000000']",1,6,26,16,42,9.428571428571429,47,47,1,1,6
"['1101010', '1110110', '0101110']",1,3,8,13,21,2.142857142857143,7,11,1,1,3
"['0000', '0011', '0010', '1101', '1111', '1110', '0111', '1000']",1,8,15,17,32,14.75,62,84,1,1,8
